Age,Gender,Location,GameGenre,PlayTimeHours,InGamePurchases,GameDifficulty,SessionsPerWeek,AvgSessionDurationMinutes,PlayerLevel,AchievementsUnlocked,EngagementLevel
17,1,3,3,11.515592302133996,0,0,7,149,93,45,2
42,1,3,0,16.67411969386618,0,0,1,130,86,38,1
25,1,0,3,15.950805681286289,1,1,15,87,81,24,2
46,1,1,0,7.218140231725681,1,0,6,33,80,49,2
49,0,1,4,9.67103561412726,0,0,1,15,18,32,1
26,1,3,2,20.218245443033823,1,2,0,12,2,4,1
43,0,1,3,23.27553263047934,0,0,6,143,90,38,2
31,1,3,0,22.582979101674677,1,0,10,138,34,12,2
17,1,1,2,18.448508353448016,0,2,6,10,42,12,1
24,1,3,0,12.740423695572176,0,2,14,26,59,10,2
25,1,3,0,20.30972509078193,0,0,4,114,11,38,2
18,1,0,1,12.134663791402565,0,0,12,70,34,21,0
36,1,1,0,22.371585672931676,0,1,1,162,58,31,0
21,1,3,3,6.173232449196135,0,2,13,82,68,41,2
33,1,0,1,19.37036477409663,1,1,4,45,90,33,2
25,0,1,2,17.348713665197664,1,0,12,36,52,11,2
43,1,1,1,17.242210354628817,0,2,4,94,55,13,2
37,1,0,3,6.680892748375835,0,0,7,101,77,38,2
33,1,3,1,18.8452197957791,0,0,3,88,31,47,2
44,0,1,2,0.453235585826321,0,2,5,146,60,17,2
18,0,1,1,14.338278050623034,0,1,5,101,92,9,2
37,0,3,4,9.410210081453585,1,2,2,23,53,25,1
19,0,1,3,17.81494619191978,0,0,9,172,46,3,0
43,1,3,1,9.758316762448118,0,0,11,45,68,18,2
30,0,1,0,7.589533630084752,0,0,9,48,59,23,2
46,1,1,4,18.68465858874486,0,0,6,171,9,45,2
17,1,3,3,0.107605404822876,0,0,8,166,95,0,0
47,0,3,1,7.631318936219048,0,1,3,73,57,12,1
20,0,2,0,5.594382713886238,0,1,17,169,22,46,0
33,0,3,3,1.1294993458520857,0,2,13,164,30,16,0
29,1,0,1,5.792364440360939,0,0,11,178,88,15,0
19,0,0,3,5.253748458096768,0,1,4,111,21,40,2
24,1,0,3,0.4149923388766812,0,0,14,23,11,23,1
24,0,3,4,12.42201255675596,0,1,11,50,7,9,2
47,1,3,4,7.497306424392323,1,1,14,90,6,10,2
18,1,1,3,9.170352998247669,0,2,9,71,37,27,2
39,1,1,2,10.130629157319271,0,1,7,95,53,44,2
25,1,1,2,16.776689883008288,0,2,2,133,1,38,1
23,1,1,2,23.89202130490061,0,2,13,27,37,22,0
47,0,0,4,11.436951351039689,0,0,11,20,41,26,1
15,0,3,0,21.31813372531789,1,0,17,62,69,34,2
40,0,2,2,10.855527291130624,0,1,7,104,55,39,2
46,1,1,4,16.551669664908307,1,0,18,107,99,45,0
24,1,3,0,0.919306011335702,0,0,6,113,65,27,2
48,1,0,2,13.747574306201027,1,1,19,132,62,22,0
15,0,1,4,0.4696250303222005,1,0,5,142,70,23,1
32,0,3,1,14.137364225622584,0,0,16,89,16,1,2
20,0,1,1,20.520409426418546,0,2,9,57,47,8,2
39,0,2,2,10.84030631453288,1,0,0,24,96,44,2
45,0,3,1,13.846011396160758,0,2,19,32,19,15,2
33,1,2,4,17.98492865631617,1,0,11,57,89,6,2
28,1,3,2,13.824134632136431,0,2,13,114,4,46,0
29,0,0,3,11.736029267434446,0,0,19,29,80,25,2
17,1,3,3,11.024933018973798,0,2,0,174,4,3,1
31,1,3,1,12.528637432703906,0,2,4,88,80,7,2
43,0,3,3,10.616102424091856,0,1,10,167,74,38,0
24,1,3,0,16.98905884716175,0,0,1,79,97,10,1
40,0,0,0,10.563876100893836,0,0,18,84,69,12,0
41,1,3,2,21.09131765787084,0,0,9,68,72,7,2
47,1,0,1,2.5795252926301533,0,2,4,77,69,5,1
16,0,3,1,0.8739672109225918,0,1,4,167,23,16,2
35,1,1,4,18.000668698551266,1,2,8,106,19,33,2
45,0,3,2,18.376975281977035,1,2,7,116,20,12,2
49,1,3,3,14.204417529099892,1,2,18,137,59,2,0
33,0,3,1,21.161726570327136,0,0,7,20,95,34,1
16,0,3,2,14.441437154676494,1,0,17,175,57,5,0
15,1,3,4,22.998493442279354,0,0,5,151,99,29,2
38,0,1,4,21.206238725114783,0,2,13,119,61,45,0
24,0,2,1,19.162473651255432,0,1,8,33,75,26,2
42,0,1,1,15.62904294088682,1,1,9,28,54,37,2
33,0,3,2,15.020246620376083,1,1,1,111,95,5,1
47,1,1,0,14.958170866101106,0,1,7,40,16,3,1
23,0,3,4,8.83404389291718,0,0,7,95,91,40,2
24,1,3,0,13.15408361446432,0,0,9,147,26,46,2
21,1,3,0,19.025550358509964,0,2,4,139,54,25,2
26,0,3,2,6.031431473921342,0,2,8,78,26,10,2
33,0,3,0,6.35760142119391,0,2,11,155,77,22,0
25,1,2,3,0.6540194267861237,0,1,3,13,32,1,1
47,1,0,4,13.662695661203802,0,0,6,86,60,15,2
48,1,0,2,15.657822310772744,0,0,19,129,34,29,0
29,1,1,2,21.32655240933969,1,0,1,28,72,7,1
26,1,2,4,12.815454050696175,0,1,17,60,96,34,2
45,0,1,2,16.271830093925498,1,2,18,158,21,25,0
37,0,2,2,15.22463333990502,0,0,3,76,17,8,1
41,0,3,2,3.0401329616845167,0,0,18,162,43,45,0
43,0,0,3,20.32564233411373,1,2,2,30,87,15,1
18,1,0,1,21.579892263404734,1,2,10,54,95,8,2
23,1,3,3,22.56700304224877,0,0,17,157,61,29,2
39,0,0,4,3.129761858868949,1,0,9,118,53,32,2
19,1,1,0,0.2566844406487316,0,0,16,61,27,28,2
20,1,2,3,2.952291002455895,1,1,17,138,71,41,0
18,1,0,3,10.82026657518104,0,1,2,20,6,49,1
25,0,3,1,18.761775085339718,0,2,12,66,63,35,2
23,1,1,1,14.158659757287252,1,0,17,143,26,45,0
17,1,3,4,19.293799044266223,0,1,8,116,73,13,2
44,1,3,2,21.94273835032159,0,0,1,169,82,13,1
42,0,0,3,22.42038854966436,0,0,9,19,47,46,1
15,1,3,4,8.346895517864755,0,1,18,25,29,22,2
26,0,3,4,4.472450529642681,1,2,1,117,36,10,1
32,1,3,1,4.232149657499287,0,0,4,124,46,2,2
21,1,1,3,19.40259464499201,0,2,15,156,89,34,0
30,0,2,2,13.976704232934944,0,1,9,110,21,35,2
31,1,3,3,6.820941686526831,1,1,16,45,23,33,2
18,0,1,1,17.12235770934577,0,0,6,128,12,31,2
26,1,1,1,22.23226938785713,1,0,10,89,43,8,2
42,0,3,0,1.5358016168751858,0,0,11,47,49,3,2
26,1,3,0,0.0662488771090075,0,1,7,158,49,46,2
36,0,2,0,20.829097710156475,0,0,14,171,75,48,0
40,1,3,1,18.7436885540256,0,2,6,43,47,16,1
39,1,3,1,9.210639744957916,0,1,7,153,55,39,2
30,1,3,3,9.518907219100328,0,2,7,77,6,25,2
27,0,0,4,21.399544382332863,0,0,6,136,30,38,2
36,0,1,3,6.718317542418313,1,2,19,101,64,32,0
25,1,3,2,21.26575641896896,0,1,7,110,11,32,2
25,1,1,1,0.1902389760923739,0,1,12,75,86,44,2
28,1,1,0,15.1658681739484,1,0,19,130,53,34,0
36,0,1,0,11.522894530416348,1,0,13,120,97,45,0
30,0,1,4,3.785411169935824,0,0,14,95,29,38,2
23,0,3,2,10.873784594398815,0,2,1,13,9,37,1
25,1,3,4,20.941261158460943,0,0,16,170,62,27,0
21,0,1,1,14.413292210432578,0,0,14,34,10,48,2
19,1,3,0,11.854742186307885,0,0,9,32,59,1,1
26,1,1,4,19.970257675973016,0,0,4,75,72,45,2
35,0,3,4,7.631292288079495,0,0,18,85,48,8,0
18,1,2,3,13.768921404984994,0,0,18,97,27,4,0
32,0,1,0,1.9989296386650943,0,2,6,116,54,20,2
32,1,3,0,20.03537624927512,0,0,14,62,79,14,2
23,1,3,4,2.3440782959213067,0,2,10,57,3,28,1
46,0,0,3,22.713235271091584,0,0,14,11,10,13,1
35,1,1,2,21.29104510756297,1,2,12,178,19,47,0
31,0,3,0,22.63595494957469,0,0,17,170,22,13,0
49,1,3,0,17.837320365577774,0,1,17,85,26,33,0
36,0,1,1,1.233850052279008,1,2,2,139,9,3,1
16,0,1,3,5.46753989523803,0,2,7,100,99,3,2
34,1,1,3,8.39514856034015,0,0,18,26,44,25,2
26,1,3,2,14.271593689620218,1,0,4,15,22,21,1
15,1,0,0,22.47584541849548,0,2,6,93,1,29,2
21,0,2,1,20.553630991968834,0,1,14,130,43,43,0
34,0,3,4,15.81033665049233,0,0,18,32,73,12,2
35,1,3,1,16.975030937430486,0,2,10,172,95,7,0
30,0,1,1,1.3466108982193532,0,0,3,146,29,47,2
28,1,3,0,15.412342084782004,0,2,6,127,99,32,2
25,1,3,2,0.8841372280492106,0,0,12,149,18,31,0
23,1,1,1,19.410761363472982,0,0,6,79,77,32,2
37,1,3,3,14.421874643659674,0,0,5,177,4,5,2
30,0,3,2,17.520287564524264,1,2,3,152,81,16,2
34,0,1,4,5.598226238628473,0,0,15,88,49,16,2
37,1,0,2,17.036866232461886,0,0,18,148,1,4,0
30,1,2,4,20.533124539136487,0,1,2,100,34,29,1
29,0,1,1,5.0596553343989,0,0,17,143,5,28,0
46,1,1,3,15.969725742114806,0,0,7,161,46,10,2
34,0,1,4,19.403716767944893,0,0,5,106,37,34,2
45,1,0,3,13.157050059179042,0,2,0,97,64,3,1
39,0,3,1,23.910184626845187,0,0,7,12,10,3,1
29,1,3,0,13.15622375198237,0,2,6,101,73,32,2
46,1,1,1,21.07054761606092,0,0,4,167,91,0,2
20,1,3,2,4.511540442239739,0,0,14,28,49,29,2
42,0,0,2,14.824538106823637,1,0,15,60,76,26,2
20,1,3,2,4.722390330764057,1,0,2,26,98,5,1
49,1,3,3,12.738896840296132,0,0,9,114,71,41,2
29,1,1,2,0.9271581106190884,1,1,17,112,22,16,0
32,1,3,3,4.8276804733176535,0,0,13,69,3,13,1
20,1,1,0,0.1907472115319928,1,0,1,77,71,0,1
30,0,2,2,9.239556495161002,0,0,7,81,10,49,2
34,1,0,2,0.3256599052873827,0,1,10,89,67,8,2
17,1,1,2,10.100289432451335,0,0,4,153,67,28,2
33,1,3,4,13.336000122156513,0,1,1,121,37,4,1
44,1,3,0,5.358615533724693,0,2,0,86,95,20,1
31,1,3,0,8.80263565871072,0,0,8,145,87,14,2
27,0,1,1,1.4713209652126045,0,0,1,83,18,13,1
26,0,1,0,14.869565232748885,0,0,7,138,79,10,2
30,0,3,3,6.094358229171633,0,1,18,78,2,18,2
23,1,0,4,23.778239635937776,1,2,12,114,82,22,0
33,0,3,3,22.786921836078456,0,0,12,120,54,7,1
23,1,1,2,9.762388653348268,0,0,16,179,94,24,0
27,0,1,2,22.29561699214136,0,0,8,127,68,30,2
23,1,1,4,19.321886300550787,0,0,8,144,31,23,2
40,1,3,3,13.048872983805849,0,2,11,172,70,0,0
20,1,3,0,9.99902896882982,0,0,3,95,26,42,2
20,0,2,2,5.352981483097507,0,1,19,33,22,38,2
27,1,0,0,3.835601711232986,0,2,12,84,59,7,2
28,1,0,2,8.18314831810791,0,2,9,31,60,26,2
43,0,3,1,23.16995706738263,0,0,19,100,62,2,0
39,0,3,2,2.2607069621911924,0,0,17,51,94,26,2
21,1,1,3,0.4212415559345537,1,1,12,15,9,34,2
30,1,3,0,2.38099177911608,0,2,15,173,33,43,2
40,1,1,0,2.3911158670690584,1,0,18,80,71,33,0
30,1,3,0,12.02378104086247,1,2,18,118,19,43,0
36,0,2,2,7.153619367417833,0,0,9,90,61,49,2
38,1,2,2,1.2973954864289068,1,2,2,43,85,47,0
35,0,1,4,5.091415145009244,0,2,4,95,9,40,2
16,1,3,0,19.534524176181385,0,0,0,127,48,8,1
40,1,3,0,17.316143468961315,0,0,10,113,23,30,2
26,1,3,2,13.455759007381284,0,0,15,165,26,5,0
32,0,3,0,21.051191756019744,0,2,2,54,86,32,1
29,0,0,0,23.30777761246305,0,0,15,162,65,28,0
46,1,3,3,0.5684815561573568,0,2,9,64,91,46,2
41,1,0,0,23.631227848902867,0,2,5,47,90,45,2
40,0,2,1,13.70128644440562,1,1,12,171,95,13,0
26,1,3,0,9.230503153115269,0,0,6,55,73,27,2
21,1,3,1,23.477733197701586,0,2,14,29,91,3,2
18,0,3,0,17.203596425313997,0,1,11,57,28,32,2
41,0,1,3,16.91209424741187,0,2,11,148,85,28,0
38,1,3,3,21.89986096804464,0,2,1,122,41,31,1
31,1,1,3,20.04269387927458,1,2,8,137,85,47,2
27,1,2,4,21.76988957688946,0,0,17,83,81,12,0
46,1,3,3,8.401290242623535,0,0,10,177,1,39,0
38,1,3,1,14.812587576155575,0,2,6,63,2,19,2
31,1,1,2,5.457538153982326,0,2,14,117,21,26,0
23,0,0,4,17.113586575542342,0,0,9,150,53,3,2
34,0,1,1,11.491536007975384,0,1,12,11,55,24,1
17,0,0,3,17.899886156083916,0,0,1,17,45,37,1
28,0,1,0,15.603256071990575,0,2,10,116,16,3,2
24,0,3,0,10.626454422735437,0,0,11,40,67,44,2
49,1,1,3,15.893634908006018,1,2,1,75,19,28,1
43,1,0,0,23.00415065681608,0,0,11,35,78,43,2
20,1,3,3,0.968189190926088,0,0,1,62,58,13,1
20,0,0,4,23.3080772522828,1,2,2,49,61,47,2
22,0,3,1,8.404901614174971,0,0,19,45,58,33,2
33,1,0,4,19.0902026012562,0,2,15,79,46,44,2
49,0,3,2,3.81306467142429,0,2,11,21,75,22,1
39,1,3,2,9.402640413427132,0,0,16,133,91,15,0
42,1,0,3,9.107639021559624,0,2,7,89,75,21,2
25,1,3,2,16.986850130029964,0,1,5,162,91,3,2
46,1,0,4,19.45494178399033,1,1,7,73,50,43,2
28,0,1,0,20.450087313006915,0,0,10,94,71,19,2
28,1,1,0,18.98253758543601,0,0,1,80,57,18,1
29,1,1,3,9.338426091235275,0,2,15,81,63,49,2
31,1,3,3,15.86441110947917,1,0,7,32,17,2,1
39,1,1,1,2.1598209102239183,0,0,9,141,1,34,2
43,0,3,1,19.426658386517,0,1,9,121,97,37,2
15,0,3,0,22.0657676411204,0,2,11,56,68,21,2
24,1,1,3,4.811763040241756,0,1,2,144,51,35,2
15,1,3,4,15.706041012253994,0,0,16,69,5,43,2
36,1,3,2,2.144860560149712,1,0,2,106,81,21,1
48,0,3,4,15.52981869500744,1,2,15,170,8,15,2
30,1,0,2,3.471469771115208,1,0,12,97,7,2,2
15,1,3,1,0.0794254429480689,0,0,2,145,14,44,1
18,0,3,0,0.1917046938984068,0,1,0,20,89,2,1
31,0,3,4,10.441193863340349,0,0,12,82,67,30,2
43,0,3,0,4.365776124981758,0,2,4,34,77,24,1
47,1,0,1,8.503016121940227,0,0,13,170,44,46,0
16,1,3,2,7.6438918061426575,1,0,8,103,23,46,2
19,1,3,3,9.249572566813557,0,0,10,85,64,34,2
20,1,3,4,16.17940043837466,0,0,2,27,66,31,1
34,1,0,4,20.91042051797258,0,0,10,75,45,48,2
31,1,3,0,13.317889134251292,1,0,1,34,78,9,1
31,1,1,3,17.148332643869807,0,0,16,152,76,39,0
18,1,2,2,16.367380106587557,0,2,5,143,18,25,2
31,1,0,3,20.892095374844605,1,0,2,159,68,5,1
40,1,0,0,15.997871306768866,0,2,10,110,58,34,2
40,1,2,1,2.9175452443522465,0,2,18,97,76,20,0
27,1,1,4,11.402998284857354,0,2,7,152,70,42,2
48,1,1,4,16.29236728696921,0,0,5,115,65,29,2
17,0,1,2,7.584219591784563,0,2,18,131,5,5,0
26,1,3,4,13.63150846385638,0,1,14,10,94,17,1
21,1,3,0,0.4973170451257527,0,0,5,58,61,46,2
20,1,3,1,21.621303677591055,0,0,19,21,91,16,2
49,1,0,1,10.515362498679108,1,0,3,85,77,22,2
33,1,2,0,1.5877872601253884,0,0,12,34,15,38,2
31,0,3,1,21.40348962344614,0,0,17,55,59,46,2
20,0,0,1,11.273172308908872,0,1,15,20,8,28,1
46,0,0,3,3.926334705859542,0,2,19,93,82,21,0
28,1,1,2,21.316758985424816,0,2,12,93,2,28,0
45,1,1,3,2.9253118795562303,0,1,8,69,29,49,2
18,0,3,4,20.75138916239287,0,2,19,18,47,8,2
35,0,3,4,15.88585382353615,1,1,19,81,6,2,0
32,1,3,3,17.936142914270068,0,2,16,89,70,31,0
18,0,3,4,21.26500261017881,0,1,11,57,97,2,2
40,0,1,1,8.048988860442137,0,2,16,101,5,27,0
29,0,3,2,4.187575423111734,0,1,19,161,51,46,0
24,1,1,3,1.0243987717511391,0,1,11,58,56,20,2
18,0,3,2,19.12585477498262,0,2,5,47,42,27,2
29,1,2,2,17.479331637678264,0,0,15,79,60,33,2
40,1,3,2,0.0681114645617251,1,2,8,143,55,26,2
21,1,1,4,19.135521568749084,0,2,14,67,64,35,2
36,1,3,1,1.6063238062101268,0,1,13,24,76,8,2
34,1,1,0,13.83745594854894,1,1,14,10,63,0,1
19,1,0,3,11.738266249748142,1,0,7,51,35,45,0
24,1,1,2,12.275501930625094,0,2,6,138,78,46,2
31,0,2,4,14.414411620440006,0,1,9,34,15,3,1
22,1,3,3,6.764154349661173,0,0,9,109,91,7,2
20,0,3,4,7.397755189107994,0,0,5,119,91,0,2
28,1,0,3,22.0267996852516,0,1,19,163,2,3,0
42,1,1,2,3.021732373801787,0,0,13,74,17,12,2
31,1,3,0,15.098663912892372,0,0,4,121,72,28,2
35,1,1,0,8.150138103503409,0,0,2,136,42,5,1
18,1,3,3,13.384936317288952,0,0,3,162,54,20,2
23,1,3,1,3.181295548427289,0,0,12,53,47,21,2
46,1,3,4,3.354588036005964,0,0,2,171,56,6,2
26,0,1,2,2.8176419767028644,1,0,16,133,23,25,0
48,1,3,0,18.35841044550596,1,0,6,45,65,41,2
28,0,3,3,21.625945155528484,0,1,14,22,49,23,2
41,0,1,2,19.643173490825276,0,0,12,30,13,47,2
41,1,2,4,18.31909881344694,0,0,11,22,16,39,1
40,1,3,0,15.02988855160142,1,0,18,62,65,34,2
26,0,1,2,7.126328358209091,0,1,17,16,19,23,1
16,0,2,0,14.269675485897933,0,2,0,19,21,24,1
38,1,3,4,1.945644201100408,0,2,12,107,71,17,2
17,1,1,2,12.48392430067475,0,2,8,149,9,10,2
20,0,3,3,18.910681294498264,0,2,9,54,68,21,2
17,1,1,2,12.768840477895974,0,0,8,45,51,20,2
35,0,0,0,6.399752577962386,0,2,3,63,99,10,1
31,0,1,2,2.2868885020486696,0,1,13,119,3,34,0
16,1,0,4,7.083867101270888,1,1,19,134,38,30,0
24,0,3,2,2.911050403693438,0,1,1,75,79,30,1
30,1,3,2,3.253241119262844,0,1,18,21,93,31,2
17,1,1,3,4.660118565283155,0,0,0,20,44,22,2
27,1,1,2,6.034689926891949,0,0,17,63,29,16,2
22,1,2,3,4.353068546797509,1,0,19,128,59,43,0
21,1,3,2,19.86726547133424,0,0,15,84,99,34,0
37,1,2,3,5.726480305599965,0,0,13,59,52,2,2
40,0,0,0,1.324860514159945,0,1,13,30,86,13,2
38,1,3,2,9.49496766452263,0,2,4,105,70,47,2
30,1,3,3,2.974483910869994,0,2,9,77,4,33,2
17,1,3,4,4.450978931486966,0,0,16,98,82,26,0
38,0,3,1,13.710458906570958,0,0,4,55,54,3,1
38,1,3,0,5.950245109813428,0,1,11,65,16,32,2
45,1,2,0,0.672324020163173,0,0,3,91,11,16,1
27,1,0,1,11.983742594355869,0,1,9,113,21,30,2
42,1,0,4,2.8823781420053747,0,0,1,43,91,24,1
37,0,0,1,5.457007960320139,1,0,10,171,52,15,0
